"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 07, 2018","16.428","16.640","16.640","16.400","0.03K","-1.72%"
"Mar 06, 2018","16.715","16.370","16.810","16.370","0.34K","2.31%"
"Mar 05, 2018","16.338","16.465","16.545","16.320","0.14K","-1.19%"
"Mar 04, 2018","16.535","16.540","16.560","16.505","-","0.87%"
"Mar 02, 2018","16.392","16.390","16.495","16.360","0.08K","1.19%"
"Mar 01, 2018","16.200","16.350","16.465","16.090","0.56K","-0.76%"
"Feb 28, 2018","16.324","16.335","16.430","16.300","1.02K","-0.13%"
"Feb 27, 2018","16.346","16.610","16.650","16.260","23.90K","-1.18%"
"Feb 26, 2018","16.542","16.542","16.542","16.542","-","0.56%"
"Feb 25, 2018","16.450","16.455","16.480","16.445","-","-0.16%"
"Feb 23, 2018","16.476","16.550","16.555","16.550","0.02K","-0.62%"
"Feb 22, 2018","16.579","16.570","16.570","16.570","0.02K","-0.15%"
"Feb 21, 2018","16.604","16.604","16.604","16.604","-","1.09%"
"Feb 20, 2018","16.425","16.425","16.425","16.425","-","-1.11%"
"Feb 19, 2018","16.610","16.600","16.690","16.570","-","0.03%"
"Feb 18, 2018","16.605","16.600","16.645","16.595","-","-0.54%"
"Feb 16, 2018","16.695","16.695","16.695","16.695","0.00K","-0.49%"
"Feb 15, 2018","16.777","16.777","16.777","16.777","0.02K","-0.48%"
"Feb 14, 2018","16.858","16.858","16.858","16.858","0.20K","2.13%"
"Feb 13, 2018","16.507","16.507","16.507","16.507","0.00K","-0.25%"
"Feb 12, 2018","16.548","16.375","16.375","16.345","0.00K","1.40%"
"Feb 11, 2018","16.320","16.295","16.325","16.280","-","1.27%"
"Feb 09, 2018","16.116","16.116","16.116","16.116","0.02K","-1.21%"
"Feb 08, 2018","16.314","16.314","16.314","16.314","-","0.67%"
"Feb 07, 2018","16.206","16.630","16.630","16.630","0.00K","-2.07%"
"Feb 06, 2018","16.548","16.705","16.705","16.540","0.21K","-0.55%"
"Feb 05, 2018","16.639","16.639","16.639","16.639","0.01K","0.27%"
"Feb 04, 2018","16.595","16.555","16.625","16.515","-","-0.49%"
"Feb 02, 2018","16.676","16.676","16.676","16.676","0.00K","-2.58%"
"Feb 01, 2018","17.118","17.118","17.118","17.118","-","-0.50%"
"Jan 31, 2018","17.204","17.175","17.210","17.175","0.02K","1.12%"
"Jan 30, 2018","17.013","17.055","17.185","17.025","0.02K","-0.32%"
"Jan 29, 2018","17.068","17.068","17.068","17.068","-","-1.96%"
"Jan 28, 2018","17.410","17.420","17.440","17.365","-","0.16%"
"Jan 26, 2018","17.382","17.382","17.382","17.382","0.00K","-0.96%"
